,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
212,Mateo Kovacic,Man City,Midfielder,2.082477882504463,3.123716823756695,6,4,,3.9369083973887142,0.0,0.0,0.0,7.887842506170273,4.6070247888565055,0.0
213,Harvey Elliott,Liverpool,Midfielder,2.0790339757998786,2.494840770959854,6,5,,2.283172948810251,0.0,9.120149165391922,3.3540546894073486,0.0,0.0,0.0
214,Cameron Archer,Sheffield Utd,Forward,2.053417886296908,3.080126829445362,6,4,,3.6482880795854657,0.0,0.0,12.320507317781448,0.0,0.0,0.0
215,Danny Ings,West Ham,Forward,2.0524915307760243,2.4629898369312295,6,5,,2.8936998494896344,0.0,0.0,0.0,0.0,0.0,12.314949184656145
216,Nelson Cabral Semedo,Wolves,Defender,2.0456314707795777,2.0456314707795777,6,6,,1.9129534332078761,0.0,8.330432325601576,2.0012402907013893,0.0,1.9421162083745005,0.0
217,Aaron Ramsey,Burnley,Midfielder,2.0315635949373245,4.063127189874649,4,2,5.388439942754818,2.285325251787943,8.126254379749298,0.0,0.0,0.0,,
218,Jean-Philippe Mateta,Crystal Palace,Forward,2.0248116304477057,3.0372174456715584,6,4,,2.545989116509623,12.148869782686234,0.0,0.0,0.0,0.0,0.0
219,Adam Webster,Brighton,Defender,1.999575396378835,3.99915079275767,6,3,,2.689965376617452,11.99745237827301,0.0,0.0,0.0,0.0,0.0
220,John Egan,Sheffield Utd,Defender,1.9723591084281604,2.3668309301137924,6,5,,3.2717706112981433,0.0,0.0,6.631767749786378,0.0,0.0,5.202386900782585
221,Lucas Digne,Aston Villa,Defender,1.9386382463077705,1.9386382463077705,6,6,,2.743490993671015,3.0554519966244698,3.0939683318138123,0.0,0.0,5.4824091494083405,0.0
222,Nicolas Dominguez,Nott'm Forest,Midfielder,1.9037950783967967,3.8075901567935935,2,1,,7.2634643625279365,3.8075901567935935,0.0,,,,
223,Ben Osborn,Sheffield Utd,Midfielder,1.8758172790209453,3.7516345580418906,6,3,,6.132396989295694,0.0,0.0,0.0,0.0,0.0,11.254903674125671
224,Aymeric Laporte,Man City,Defender,1.8713743736346562,11.228246241807938,6,1,,13.24393709933011,0.0,0.0,0.0,0.0,0.0,11.228246241807938
225,Chris Wood,Nott'm Forest,Forward,1.8472590794165928,1.8472590794165928,6,6,,0.9443464047725019,0.0,0.0,0.0,0.0,11.083554476499557,0.0
226,Davinson Sanchez,Spurs,Defender,1.834382986028989,11.006297916173935,6,1,,9.253885016202396,0.0,0.0,0.0,0.0,0.0,11.006297916173935
227,Callum Hudson-Odoi,Nott'm Forest,Midfielder,1.8152787039677303,5.445836111903191,6,2,,4.409630312770177,0.0,10.891672223806381,0.0,0.0,0.0,0.0
