,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW6,GW5,GW4,GW3,GW2,GW1
187,Nathan Patterson,Everton,Defender,4.5,4.5,4,4,3.4572224584545324,2.8698184461658873,4.0,0.0,4.0,10.0
188,Rasmus Højlund,Man Utd,Forward,4.4,11.0,5,2,17.221201775343406,8.0,14.0,0.0,0.0,0.0
189,Sven Botman,Newcastle,Defender,4.4,5.5,5,4,8.329591308932514,6.0,0.0,8.0,0.0,8.0
190,Ryan Giles,Luton,Defender,4.25,5.666666666666667,4,3,10.354665431134903,0.0,0.0,17.0,,0.0
191,Ross Barkley,Luton,Midfielder,4.25,8.5,4,2,12.013558299698662,0.0,7.0,10.0,,0.0
192,Kieffer Moore,Bournemouth,Forward,4.25,5.666666666666667,4,3,5.70567167831749,4.28181134561795,0.0,2.0,8.0,7.0
193,William Osula,Sheffield Utd,Forward,4.2,7.0,5,3,5.42449694728877,0.0,0.0,0.0,13.0,8.0
194,Andreas Hoelgebaum Pereira,Fulham,Midfielder,4.2,4.2,5,5,4.180893709470939,4.0,2.0,7.0,6.0,2.0
195,Anel Ahmedhodzic,Sheffield Utd,Defender,4.2,4.2,5,5,4.424046954444922,0.0,0.0,8.0,7.0,6.0
196,Cheick Doucoure,Crystal Palace,Midfielder,4.2,4.2,5,5,5.093980573986546,4.0,2.0,0.0,6.0,9.0
197,Ameen Al-Dakhil,Burnley,Defender,4.0,4.0,3,3,5.549845710663717,5.17110064880566,8.0,2.0,,2.0
198,Jaidon Anthony,Bournemouth,Midfielder,4.0,5.333333333333333,4,3,6.0436031439744236,4.535411423798026,0.0,12.0,2.0,2.0
199,Billy Gilmour,Brighton,Midfielder,4.0,4.0,5,5,4.63946709407215,0.0,7.0,6.0,0.0,7.0
200,Vini de Souza Costa,Sheffield Utd,Midfielder,4.0,4.0,5,5,3.523223282368281,0.0,8.0,4.0,8.0,0.0
201,Jack Robinson,Sheffield Utd,Defender,3.8,3.8,5,5,2.8902211261021638,0.0,11.0,0.0,6.0,2.0
202,Jayden Bogle,Sheffield Utd,Defender,3.8,9.5,5,2,13.327115022094436,2.0,0.0,17.0,0.0,0.0
203,Thomas Partey,Arsenal,Midfielder,3.75,5.0,4,3,7.33555273810813,7.648140278796745,0.0,0.0,13.0,2.0
204,Chiedozie Ogbene,Luton,Forward,3.75,3.75,4,4,3.5878272850271733,2.0,9.0,0.0,,4.0
205,Dara O'Shea,Burnley,Defender,3.6666666666666665,3.6666666666666665,3,3,4.40893812713593,4.108053448399385,11.0,0.0,,0.0
206,Mateo Kovacic,Man City,Midfielder,3.6,4.5,5,4,3.490574262131179,0.0,0.0,14.0,4.0,0.0
