,Name,Team,Creativity per fixture adj,Creativity per game adj,Team games,Played,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
121,Giovani Lo Celso,Spurs,8.553161100928106,17.106322201856212,6,3,11.581117283950618,0.0,0.0,24.708682432432433,15.029166889185582,0.0
122,Nampalys Mendy,Leicester,8.538882762294817,8.538882762294817,6,6,4.380474489795919,1.8048968008255935,8.814459649122808,25.999182389937108,7.36087962962963,2.873403614457832
123,Kyle Walker-Peters,Southampton,8.532802947750582,8.532802947750582,6,6,2.655184890656064,4.13272202166065,2.791306368330465,10.599666666666668,14.887172284644194,16.130765454545454
124,Callum Hudson-Odoi,Chelsea,8.532229448959965,17.06445889791993,6,3,0.0,0.0,25.670465454545454,23.479812392426854,0.0,2.0430988467874793
125,Oriol Romeu Vidal,Southampton,8.37364709686742,8.37364709686742,6,6,14.034548707753482,5.969487364620939,10.508447504302927,2.7480617283950615,13.338906367041197,3.642430909090909
126,Ben Davies,Spurs,8.319533136142141,9.98343976337057,6,5,4.710962962962963,0.0,0.5438825541619157,8.451085585585586,2.5473164218958613,33.66395129224652
127,Mason Greenwood,Man Utd,8.31861420910013,10.39826776137516,5,4,17.104877256317693,0.0,2.2628501872659177,19.016535420098847,3.2088081818181817,
128,Joe Bryan,Fulham,8.183217890537684,12.274826835806525,6,4,0.0,0.0,21.614266903914594,20.838353973168214,1.4144530477759474,5.232233418367347
129,Tomas Soucek,West Ham,8.071211341495031,8.071211341495031,6,6,1.4999528301886793,15.125367041198501,1.6940643729189793,1.1316370106761566,13.506463010204081,15.469783783783786
130,Nelson Cabral Semedo,Wolves,8.059777415869155,8.059777415869155,4,4,20.26828153153153,0.15716144975288304,8.020101769911504,3.7935649122807016,,
131,Ilkay Gundogan,Man City,7.953250964017187,19.883127410042967,5,2,23.096115789473686,16.670139030612244,0.0,0.0,0.0,
132,Joelinton Cassio Apolinario de Lira,Newcastle,7.843502036839077,7.843502036839077,6,6,0.339491103202847,9.8805330672748,15.70320987654321,7.38403745318352,1.2572915980230643,12.496449122807016
133,James Justin,Leicester,7.775567963572286,7.775567963572286,6,6,2.7986364795918366,8.942443240454077,3.9051403508771934,0.9999685534591196,19.33457716049383,10.67264199655766
134,Filip Krovinovic,West Brom,7.710552493224255,7.710552493224255,3,3,11.629947281713346,10.992246913580246,0.5094632843791723,,,
135,Patrick Bamford,Leeds,7.676008152408477,7.676008152408477,6,6,18.213049535603712,4.5265480427046265,1.1249646226415095,11.540710243902438,10.046232743362832,0.6045437262357415
136,Jeffrey Schlupp,Crystal Palace,7.5483918814736555,11.322587822210483,6,4,10.383921238938054,3.1432289950576604,0.0,0.0,31.635835233751425,0.12736582109479308
137,Thomas Partey,Arsenal,7.493146711986683,7.493146711986683,2,2,14.611305216426196,0.3749882075471698,,,,
138,Oliver Norwood,Sheffield Utd,7.429297312437697,14.858594624875394,6,3,0.0,19.670354867256638,0.0,0.23574217462932456,0.0,24.669686832740215
139,Callum Robinson,West Brom,7.3380613284153045,7.3380613284153045,6,6,10.529817133443162,1.2758858024691357,2.5473164218958613,4.591913357400722,23.707007952286283,1.3764273029966705
140,Ben Godfrey,Everton,7.242498411062659,7.242498411062659,2,2,1.910487316421896,12.574509505703421,,,,
141,Daniel James,Man Utd,7.20927068820905,12.015451147015083,5,3,12.972155234657041,18.477797297297297,0.0,0.0,4.596400909090908,
142,Raul Jimenez,Wolves,7.158390563760871,7.158390563760871,6,6,18.477797297297297,3.5361326194398677,2.6170858407079645,8.033431578947368,2.374925314465409,7.910970731707317
143,James Maddison,Leicester,7.034937010843603,8.441924413012323,6,5,8.274229591836734,12.470196078431373,0.0,0.3749882075471698,10.992246913580246,10.097961273666094
144,Tanguy Ndombele,Spurs,7.0335109963080145,7.0335109963080145,6,6,18.941996913580248,3.6819894736842103,12.781240022805015,3.652587837837838,1.910487316421896,1.2327644135188867
145,Pascal Groß,Brighton,7.007585646007777,8.409102775209332,6,5,12.560878657487093,12.74850818181818,1.7069045725646126,14.684828962371721,0.0,0.3443935018050542
146,Matt Doherty,Spurs,6.792091357272462,10.188137035908694,6,4,16.78280555555556,0.0,0.0,19.12237162162162,1.5283898531375169,3.31898111332008
147,Conor Gallagher,West Brom,6.660080232930625,13.32016046586125,4,2,4.557682042833608,22.08263888888889,0.0,0.0,,
148,Eberechi Eze,Crystal Palace,6.616708188502682,7.940049826203219,6,5,9.5397,0.0,4.477115523465704,13.750064612326046,0.7251767388825542,11.20819225634179
149,Ibrahima Diallo,Southampton,6.565899769254509,6.565899769254509,2,2,1.4224204771371771,11.709379061371841,,,,
150,Matej Vydra,Burnley,6.447707390245819,8.059634237807273,5,4,0.0,0.0,0.0,21.015360480640854,11.223176470588236,
151,Paul Pogba,Man Utd,6.274881634088802,6.274881634088802,5,5,9.528220216606499,8.379466216216215,6.312161048689139,1.2572915980230643,5.897269090909091,
152,Douglas Luiz Soares de Paulo,Aston Villa,6.123705239404518,6.123705239404518,5,5,10.215494233937397,1.3764273029966705,0.3627262357414449,0.42211061946902656,18.241767804878048,
153,Cesar Azpilicueta,Chelsea,6.106267760797135,7.327521312956563,6,5,1.8129418472063854,8.915607476635515,13.875927272727273,11.247322719449226,0.0,0.7858072487644151
154,Aboubakar Kamara,Fulham,6.079637675985314,7.295565211182376,6,5,1.1274190909090909,0.0,0.9053096085409253,30.683245614035084,1.5716144975288302,2.1902372448979595
