Name,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Keinan Davis,,10.937123359788503,,15.049600248690206,11.357325523038494,14.964959078794475,,12.939759404652195,8.692534350717652,6.710531030823869,17.473913956062457,13.562294894881683,11.711915950456305,13.662212854290189,13.645447992946774,8.744253790168585
Andrew Robertson,,12.287857123540746,,12.4267300862424,11.723820784737919,10.290086922185097,,9.505779272780083,12.319093139480076,13.635401608329492,13.558714100019921,10.611356776826709,10.645699708092907,15.831904537201357,13.911543544160258,12.37838587393319
Kurt Zouma,,11.729903691419972,,11.692063127879809,13.539305502247961,15.02408973061201,,17.444293993371964,13.6390540911172,10.154725196741351,10.908578607522005,12.917825269474843,6.699156036116549,10.473888841410993,10.918583885079356,13.573722728801275
Emile Smith Rowe,,6.1962909915559505,,10.098991963006153,14.177748425988707,12.59977281769022,10.089737720999786,8.026409839063025,12.664522262475126,11.94816241272996,12.522991890801721,13.818167400315751,16.134856561401012,8.074165925024941,12.615252957613533,9.39247151716888
Sander Berge,,12.521676193953102,,8.411678845077137,11.370184434781972,10.583745255368072,,14.563348148094878,10.15268761015985,10.990370700221654,9.843311710728939,13.20456400662879,13.220787195840739,13.124097582491046,14.481441731679542,14.858282706335956
Mateusz Klich,,10.006979108955068,10.35280803599596,11.980161938405766,9.627906864389272,7.7045924961925225,11.401267118265771,12.084837504875477,5.912672283560959,7.659022317803035,10.319409970622944,8.962556162933673,12.023051793378487,13.52879977326457,10.35280803599596,15.396326499164546
Pascal Groß,,12.564373987507299,,16.06978256824256,10.058261403586116,10.805653810877354,13.76243691845813,10.770794869117875,12.47248502168118,8.04160175464228,12.613444582799007,13.840276674334584,10.44469786053054,10.049044485151775,6.171300537128429,9.648605807111936
Josh Brownhill,11.3207594329897,15.287608529894573,,11.938153504460365,9.178973505832957,11.86540437599015,,10.279703827276016,13.09256968059686,10.246541595421151,9.936316899543513,9.559921395084395,11.3207594329897,13.166620695963644,7.604939718747336,11.99950292895836
Tanguy Ndombele,,11.028871725195547,,15.49738685643738,13.789457218579404,10.589388466818713,,15.104336698284378,11.820996032549782,13.688608663420297,,13.843312418618659,15.189766182047778,11.463103092281305,13.723405422049488,11.038987334820336
Allan Saint-Maximin,,10.933989261144704,,10.602951372733285,16.31326491361216,12.693648411508525,9.496327126928497,12.739092600180046,14.334516397561256,10.201303229760029,8.115160460929987,9.794797279304287,10.210659798927535,6.264805394607347,12.804558000617034,12.080277127223663
Joao Pedro Cavaco Cancelo,13.13521500346087,10.161287950215828,,10.583004081573101,11.343104932024737,12.532283303860735,,10.592710744286585,14.575684757989373,13.168605022655397,,13.231986522566615,8.468895158889257,14.493708958661749,9.85164997850983,13.13521500346087
Callum Robinson,,15.13067101853435,,10.023763457160227,14.746921636016637,13.463156248939557,,8.61685118750391,11.57862745668342,10.777770942173595,13.398667441069204,11.191850816372055,10.338810966207566,8.565885293335686,10.767894698984827,14.830329595441118
Benjamin Chilwell,,11.337364165451872,,11.300789930882958,13.086214607079123,14.5213107465637,,16.86052322464731,13.18262512388735,9.814898790666005,10.54352460637836,12.485532120168978,6.474969750876453,10.123381670251742,10.553195058773216,13.119480066137003
James Tarkowski,11.032714305314753,14.898630990277764,,11.634399417046877,8.945423927197103,11.563501315632092,,10.018147293112795,12.75944265607491,9.98582884027869,9.683497494017828,9.316678987619657,11.032714305314753,12.831609519207733,7.4114398175071985,11.694187868280057
Sergio Aguero,12.749013198056861,9.86252559645387,,10.271842423250444,11.009594776120869,12.163808906105519,,10.281263690508778,14.147130237408474,12.781421483363362,,12.84293943938219,8.219892565534025,14.06756469186744,9.561991605433608,12.749013198056861
